Attitudes,Percentage
I get excited about chocolate & candy bar products,42
I rely on brands I know and trust when it comes to chocolate & candy bars,39
I do not want to imagine my life without chocolate & candy bars,39
I like to try out new and innovative chocolate & candy bar products,37
Chocolate & candy bar products are part of my day-to-day life,36
I am well informed when it comes to chocolate & candy bars,28
Sustainability is important to me when it comes to chocolate & candy bars,21
I like to talk about topics relating to chocolate & candy bars,21
I value a low price over high quality when it comes to chocolate & candy bars,14
"In general, I do not care about chocolate & candy bars",5
None of the above,3
